"","ID_Buzzard","sex","year","min_age","laying_date"
"851",276,2,2003,7,93
"852",276,2,2000,4,96
"853",276,2,1999,3,92
"854",276,2,1999,3,119
"855",276,2,1998,2,91
"856",276,2,1997,1,87
"857",277,1,2005,9,86
"858",277,1,2004,8,91
"859",277,1,2003,7,93
"860",277,1,2000,4,96
"861",277,1,1999,3,92
"862",277,1,1999,3,119
"863",277,1,1998,2,91
"864",277,1,1997,1,87
"865",278,2,2005,8,99
"866",278,2,2004,7,99
"867",278,2,2003,6,106
"868",278,2,2001,4,99
"869",278,2,2000,3,106
"870",279,1,2005,8,99
"871",279,1,2004,7,99
"872",279,1,2003,6,106
"873",279,1,2001,4,99
"874",279,1,2000,3,106
"875",282,2,2001,1,155
"876",283,1,2001,1,155
"877",284,2,1999,2,96
"878",284,2,1998,1,103
"879",285,1,1999,2,96
"880",285,1,1998,1,103
"881",290,1,2005,7,83
"882",290,1,2004,6,94
"883",290,1,2003,5,88
"884",290,1,2001,3,78
"885",290,1,2001,3,86
"886",290,1,2000,2,81
"887",290,1,1999,1,88
"888",301,2,2008,10,91
"889",301,2,2005,7,104
"890",301,2,2001,3,89
"891",301,2,2000,2,94
"892",301,2,2000,2,105
"893",301,2,1999,1,106
"894",302,2,2012,14,107
"895",302,2,2011,13,104
"896",302,2,2010,12,100
"897",302,2,2009,11,107
"898",302,2,2007,9,107
"899",302,2,2006,8,109
"900",302,2,2005,7,105
"901",302,2,2004,6,102
"902",302,2,2003,5,103
"903",302,2,2003,5,122
"904",302,2,2000,2,105
"905",302,2,1999,1,96
"906",303,1,2015,17,93
"907",303,1,2014,16,99
"908",303,1,2012,14,107
"909",303,1,2011,13,104
"910",303,1,2010,12,100
"911",303,1,2009,11,107
"912",303,1,2007,9,107
"913",303,1,2006,8,109
"914",303,1,2005,7,105
"915",303,1,2004,6,102
"916",303,1,2003,5,103
"917",303,1,2003,5,122
"918",303,1,2000,2,105
"919",303,1,1999,1,96
"920",304,2,2006,8,101
"921",304,2,2005,7,94
"922",304,2,2004,6,90
"923",304,2,2003,5,100
"924",304,2,2001,3,90
"925",304,2,2000,2,110
"926",305,1,2001,3,90
"927",305,1,2000,2,110
"928",306,2,2015,16,94
"929",306,2,2014,15,91
"930",306,2,2012,13,96
"931",306,2,2011,12,103
"932",306,2,2010,11,105
